Variant ASIN,Parent ASIN,Is Requested Variant,Team Name,Size
B09DQ8RW6S,B0CYSVW532,false,Georgia Tech Yellowjackets,Medium
B09DQ7G9PN,B0CYSVW532,false,Michigan Wolverines,X-Large
B09DQRR4V2,B0CYSVW532,false,Illinois Fighting Illini,X-Large
B09DQB91RZ,B0CYSVW532,false,Northwestern Wildcats,Medium
B09DQ7VVV3,B0CYSVW532,false,Baylor Bears,X-Large
B09DQ9FWFT,B0CYSVW532,false,Auburn Tigers,Large
B09DQ7NK6X,B0CYSVW532,false,Arkansas Razorbacks,Medium
B09DQ7B5WF,B0CYSVW532,false,Maryland Terrapins,Small
B0BSVPSVF3,B0CYSVW532,false,Ohio State Buckeyes,Small
B09DQ9VZ5N,B0CYSVW532,false,Purdue Boilermakers,Large
B09DQ8DZW2,B0CYSVW532,false,Michigan Wolverines,XX-Large
B09DQ9TX81,B0CYSVW532,false,Arizona State Sun Devils,Large
B09DQ8KQGQ,B0CYSVW532,false,Central Florida Knights,XX-Large
B09DQ8VLW7,B0CYSVW532,false,Baylor Bears,Large
B09DQBBSST,B0CYSVW532,false,NC State Wolfpack,Large
B09DQCPR2P,B0CYSVW532,false,Colorado State Rams,Large
B09DQ8NGLK,B0CYSVW532,false,Colorado State Rams,Small
B09DQ9DMZC,B0CYSVW532,false,Nebraska Cornhuskers,Medium
B09DQNGKQF,B0CYSVW532,false,Georgetown Hoyas,Large
B09DQBD99N,B0CYSVW532,false,Florida State Seminoles,XX-Large
B09DQ7ZTLK,B0CYSVW532,false,Georgetown Hoyas,X-Large
B09DQ9H5X8,B0CYSVW532,false,Indiana Hoosiers,Large
B09DQ7X26Q,B0CYSVW532,false,Louisville Cardinals,Medium
B09DQ6W6F5,B0CYSVW532,false,Marquette Golden Eagles,Large
B09DQ8W845,B0CYSVW532,false,Boise State Broncos,Medium
B09DQ92Z8T,B0CYSVW532,false,Florida State Seminoles,Medium
B09DQ8ZBX1,B0CYSVW532,false,Nebraska Cornhuskers,X-Large
B09DQBKNX6,B0CYSVW532,false,Stanford Cardinal,XX-Large
B09DQ7QNKB,B0CYSVW532,false,Vanderbilt Commodores,Large
B09DQ8H73Z,B0CYSVW532,false,Marquette Golden Eagles,Small
B09DQ9TX84,B0CYSVW532,false,Colorado State Rams,X-Large
B09DQ6YDTD,B0CYSVW532,false,Missouri Tigers,Small
B09DQ6XRBC,B0CYSVW532,false,San Diego State Aztecs,Large
B09DQB2BB8,B0CYSVW532,false,Central Florida Knights,X-Large
B09DQCYG2K,B0CYSVW532,false,Florida State Seminoles,X-Large
B09DQ9XQFL,B0CYSVW532,false,Kansas Jayhawks,Medium
B0BSVNH8B2,B0CYSVW532,false,Ohio State Buckeyes,X-Large
B09DQ99TYM,B0CYSVW532,false,Baylor Bears,XX-Large
B09DQQCL46,B0CYSVW532,false,Illinois Fighting Illini,Medium
B09DQ9L5CM,B0CYSVW532,false,Arkansas Razorbacks,Large
B09YJ8RP7F,B0CYSVW532,false,USC Trojans,Small
B09DQ9QPZF,B0CYSVW532,false,Georgetown Hoyas,Medium
B09DQCBJVK,B0CYSVW532,false,Arkansas Razorbacks,Small
B09DQ7QNK9,B0CYSVW532,true,Auburn Tigers,Medium
B09DQ7C414,B0CYSVW532,false,Cornell Big Red,Medium
B09DQ8RH2Y,B0CYSVW532,false,UCONN Huskies,Medium
B09DQ7W4MH,B0CYSVW532,false,Georgia Tech Yellowjackets,X-Large
B09DQ8ZQ5B,B0CYSVW532,false,Georgia Tech Yellowjackets,Large
B09YJ5TVH5,B0CYSVW532,false,USC Trojans,Large
B09DQ7SXPB,B0CYSVW532,false,Arizona Wildcats,Small
B09DQ92YXV,B0CYSVW532,false,San Diego State Aztecs,Medium
B09DQ99K7F,B0CYSVW532,false,Columbia Lions,Small
B09DQB26SL,B0CYSVW532,false,UCSB Gauchos,X-Large
B09DQ6WJD3,B0CYSVW532,false,Columbia Lions,X-Large
B09YJ68WHQ,B0CYSVW532,false,USC Trojans,XX-Large
B09DQBLYC3,B0CYSVW532,false,Georgia Tech Yellowjackets,XX-Large
B09DQ7SWVR,B0CYSVW532,false,Michigan Wolverines,Large
B09DQ4ST25,B0CYSVW532,false,Michigan State Spartans,XX-Large
B09DQ72BFD,B0CYSVW532,false,UCSB Gauchos,XX-Large
B09DQ72MTC,B0CYSVW532,false,Syracuse Orange,Small
B09DQKYZ5B,B0CYSVW532,false,Vanderbilt Commodores,Medium
B09DQ9ZCND,B0CYSVW532,false,Iowa State Cyclones,Small
B09DQ86HRC,B0CYSVW532,false,Iowa Hawkeyes,XX-Large
B09DQ9GY1R,B0CYSVW532,false,Clemson Tigers,X-Large
B09DQB7QZQ,B0CYSVW532,false,Dayton Flyers,Large
B09DQ7Y46K,B0CYSVW532,false,Louisville Cardinals,Small
B09DQ8T6KD,B0CYSVW532,false,Stanford Cardinal,Small
B09DQ6QNW9,B0CYSVW532,false,Northwestern Wildcats,Large
B09DQ9RFLC,B0CYSVW532,false,Missouri Tigers,Medium
B09DQ6QK7Y,B0CYSVW532,false,UCONN Huskies,Small
B09DQ8LL5R,B0CYSVW532,false,Indiana Hoosiers,Small
B09DQ8XVFB,B0CYSVW532,false,Colorado Buffaloes,XX-Large
B09DQB7QZR,B0CYSVW532,false,LSU Tigers,Medium
B09DQ95F2C,B0CYSVW532,false,Marquette Golden Eagles,XX-Large
B09DQC31KP,B0CYSVW532,false,Iowa State Cyclones,Medium
B09DQ7S4PF,B0CYSVW532,false,Washington Huskies,Medium
B09DQ884TK,B0CYSVW532,false,Illinois Fighting Illini,Small
B09DQBMLX7,B0CYSVW532,false,San Diego State Aztecs,XX-Large
B09DQBZQC6,B0CYSVW532,false,Iowa State Cyclones,XX-Large
B09DQ93FQG,B0CYSVW532,false,Tulane Green Wave,Medium
B09DQ9HFS9,B0CYSVW532,false,Maryland Terrapins,XX-Large
B09DQ8D8PQ,B0CYSVW532,false,NC State Wolfpack,Medium
B09DQBMLX6,B0CYSVW532,false,Missouri Tigers,X-Large
B09DQ878WS,B0CYSVW532,false,Georgetown Hoyas,Small
B09DQ82Q6V,B0CYSVW532,false,Vanderbilt Commodores,XX-Large
B09DQ8P2H5,B0CYSVW532,false,Kansas Jayhawks,X-Large
B09DQB3ZXX,B0CYSVW532,false,San Diego State Aztecs,X-Large
B09DQ914L8,B0CYSVW532,false,Michigan State Spartans,Large
B09DQ6Z2T9,B0CYSVW532,false,Washington Huskies,XX-Large
B09DQBVCK6,B0CYSVW532,false,Michigan State Spartans,X-Large
B09DQ9F8MY,B0CYSVW532,false,Central Florida Knights,Large
B09DQ83Z4M,B0CYSVW532,false,Florida State Seminoles,Small
B09DQ8KKHQ,B0CYSVW532,false,Georgetown Hoyas,XX-Large
B09DQ8QS5H,B0CYSVW532,false,Georgia Tech Yellowjackets,Small
B09DQ9YWJ9,B0CYSVW532,false,Kansas Jayhawks,Small
B09DQBD3YT,B0CYSVW532,false,BYU Cougars,Large
B09DQ8QZTH,B0CYSVW532,false,Boston College Eagles,Small
B09DQ8X727,B0CYSVW532,false,Baylor Bears,Small
B09DQ749TR,B0CYSVW532,false,Auburn Tigers,Small
B09DQ9HCMY,B0CYSVW532,false,Dayton Flyers,XX-Large
B09DQ7H3V7,B0CYSVW532,false,NC State Wolfpack,X-Large
B09DQ8ML3X,B0CYSVW532,false,Syracuse Orange,XX-Large
B09DQB44T1,B0CYSVW532,false,Virginia Cavaliers,Large
B09DQ71FG5,B0CYSVW532,false,Iowa Hawkeyes,Small
B0BSVPWHB8,B0CYSVW532,false,Ohio State Buckeyes,Large
B09DQBMC5Y,B0CYSVW532,false,Dayton Flyers,Medium
B09DQ7PM97,B0CYSVW532,false,Iowa Hawkeyes,Medium
B09DQ9F8MZ,B0CYSVW532,false,Kansas Jayhawks,Large
B09DQ9WFXG,B0CYSVW532,false,Michigan State Spartans,Small
B09DQBRGHH,B0CYSVW532,false,Virginia Cavaliers,X-Large
B09DQ7GQCX,B0CYSVW532,false,Boise State Broncos,Small
B09DQ8TVKY,B0CYSVW532,false,Columbia Lions,Medium
B09DQ9G8T2,B0CYSVW532,false,Purdue Boilermakers,XX-Large
B09DQB8Q95,B0CYSVW532,false,Alabama Crimson Tide,XX-Large
B09DQB899Q,B0CYSVW532,false,Indiana Hoosiers,X-Large
B09DQL7R24,B0CYSVW532,false,LSU Tigers,Large
B09DQ8SW96,B0CYSVW532,false,Arizona Wildcats,Medium
B09DQC28VQ,B0CYSVW532,false,Central Florida Knights,Small
B09DQ8DYGK,B0CYSVW532,false,Vanderbilt Commodores,Small
B09DQB5NDP,B0CYSVW532,false,Kansas Jayhawks,XX-Large
B09DQ7ZVLG,B0CYSVW532,false,Clemson Tigers,XX-Large
B09DQ5XYQH,B0CYSVW532,false,Louisville Cardinals,Large
B09DQ8B2PT,B0CYSVW532,false,Cornell Big Red,XX-Large
B09DQ8LSFP,B0CYSVW532,false,Virginia Cavaliers,Medium
B09DQ9NMQM,B0CYSVW532,false,NC State Wolfpack,XX-Large
B09DQ72DGH,B0CYSVW532,false,San Diego State Aztecs,Small
B09YJV9HDV,B0CYSVW532,false,USC Trojans,Medium
B09DQ8K378,B0CYSVW532,false,Washington Huskies,X-Large
B09DQ8LZDM,B0CYSVW532,false,Tulane Green Wave,Small
B09YJYR48L,B0CYSVW532,false,USC Trojans,X-Large
B09DQBW841,B0CYSVW532,false,Iowa State Cyclones,X-Large
B09DQ71FG2,B0CYSVW532,false,Northwestern Wildcats,XX-Large
B09DQBQWT8,B0CYSVW532,false,Missouri Tigers,Large
B0BSVQ992T,B0CYSVW532,false,Ohio State Buckeyes,Medium
B09DQ7PJB1,B0CYSVW532,false,Stanford Cardinal,Large
B09DQ8SRXX,B0CYSVW532,false,Iowa Hawkeyes,Large
B09DQ798BX,B0CYSVW532,false,UCSB Gauchos,Small
B09DQ7MWL5,B0CYSVW532,false,Michigan Wolverines,Medium
B09DQL52JH,B0CYSVW532,false,Purdue Boilermakers,X-Large
B09DQ93RCF,B0CYSVW532,false,Arizona Wildcats,Large
B09DQ9GZ81,B0CYSVW532,false,Northwestern Wildcats,Small
B09DQ8MS3P,B0CYSVW532,false,Dayton Flyers,Small
B09DQ84CBC,B0CYSVW532,false,Marquette Golden Eagles,X-Large
B09DQBNLGJ,B0CYSVW532,false,Colorado Buffaloes,Medium
B09DQ7ZZ2Q,B0CYSVW532,false,Cornell Big Red,Small
B09DQBBTRY,B0CYSVW532,false,Colorado Buffaloes,Small
B09DQBC1CC,B0CYSVW532,false,Syracuse Orange,Large
B09DQB3ZKK,B0CYSVW532,false,Vanderbilt Commodores,X-Large
B09DQ8YSYV,B0CYSVW532,false,Arkansas Razorbacks,XX-Large
B09DQ9BG1F,B0CYSVW532,false,Nebraska Cornhuskers,Small
B09DQ88XGK,B0CYSVW532,false,Alabama Crimson Tide,Medium
B09DQ8ZFM6,B0CYSVW532,false,Marquette Golden Eagles,Medium
B09DQ9B8DG,B0CYSVW532,false,Nebraska Cornhuskers,Large
B09DQBC5SS,B0CYSVW532,false,Arizona State Sun Devils,XX-Large
B09DQ7ZJT1,B0CYSVW532,false,LSU Tigers,XX-Large
B09DQBJK9G,B0CYSVW532,false,Iowa Hawkeyes,X-Large
B09DQ9NLY3,B0CYSVW532,false,Indiana Hoosiers,Medium
B09DQ9NZL8,B0CYSVW532,false,Louisville Cardinals,XX-Large
B09DQ8VG9Z,B0CYSVW532,false,Virginia Cavaliers,Small
B09DQ8ZLY8,B0CYSVW532,false,Clemson Tigers,Small
B09DQ9NLY2,B0CYSVW532,false,Michigan Wolverines,Small
B09DQ9DQP4,B0CYSVW532,false,Colorado State Rams,Medium
B09DQ9ZSZN,B0CYSVW532,false,Purdue Boilermakers,Medium
B09DQ7ZTNX,B0CYSVW532,false,UCLA Bruins,Medium
B09DQ8NJHH,B0CYSVW532,false,Florida State Seminoles,Large
B09DQ7ZTNY,B0CYSVW532,false,Washington Huskies,Large
B09DQ89P4G,B0CYSVW532,false,Columbia Lions,XX-Large
B09DQ7LRM4,B0CYSVW532,false,Stanford Cardinal,X-Large
B09DQ9HQ46,B0CYSVW532,false,Arizona Wildcats,X-Large
B09DQB1VB5,B0CYSVW532,false,Colorado Buffaloes,Large
B09DQ8BB5N,B0CYSVW532,false,Stanford Cardinal,Medium
B09DQ79GFD,B0CYSVW532,false,UCSB Gauchos,Large
B09DQCFCSG,B0CYSVW532,false,Northwestern Wildcats,X-Large
B09DQ96JKW,B0CYSVW532,false,Arizona State Sun Devils,Medium
B09DQ7TLPL,B0CYSVW532,false,UCSB Gauchos,Medium
B09DQB23RQ,B0CYSVW532,false,Illinois Fighting Illini,Large
B09DQ9Z866,B0CYSVW532,false,Baylor Bears,Medium
B09DQ98ZMT,B0CYSVW532,false,Iowa State Cyclones,Large
B09DQ9RTTR,B0CYSVW532,false,Missouri Tigers,XX-Large
B09DQ94HNK,B0CYSVW532,false,Boston College Eagles,XX-Large
B09DQB4GLC,B0CYSVW532,false,Auburn Tigers,X-Large
B09DQ8TSZ3,B0CYSVW532,false,Maryland Terrapins,Medium
B09DQ7Y4RB,B0CYSVW532,false,Clemson Tigers,Medium
B09DQCG1TD,B0CYSVW532,false,Purdue Boilermakers,Small
B09DQ8ZMCK,B0CYSVW532,false,Tulane Green Wave,X-Large
B09DQB4KDB,B0CYSVW532,false,Washington Huskies,Small
B09DQB9FCG,B0CYSVW532,false,Arkansas Razorbacks,X-Large
